,Spital/Institution,Kanton,Kanton LV,Adr,Ort,Basispaket,Dermatologie,Hals-Nasen-Ohren,Neurochirurgie,Neurologie,Ophthalmologie,Endokrinologie,Gastroenterologie,Viszeralchirurgie,Hämatologie,Gefässe,Herz,Nephrologie,Urologie,Pneumologie,Thoraxchirurgie,Transplantationen,Bewegungsapparat chirurgisch,Rheumatologie,Gynäkologie,Geburtshilfe,Neugeborene,(Radio-) Onkologie,Unfallchirurgie,Übrige (Querschnittsbereiche),BP,BPE,DER1,DER1.1,DER1.2,DER2,HNO1,HNO1.1,HNO1.1.1,HNO1.2,HNO1.2.1,HNO1.3,HNO1.3.1,HNO1.3.2,HNO2,KIE1,NCH1,NCH1.1,NCH1.1.1,NCH1.1.1.1,NCH1.1.2,NCH1.1.3,NCH2,NCH2.1,NCH3,NEU1,NEU2,NEU2.1,NEU3,NEU3.1,NEU4,NEU4.1,NEU4.2,AUG1,AUG1.1,AUG1.2,AUG1.3,AUG1.4,AUG1.5,END1,GAE1,GAE1.1,VIS1,VIS1.1,VIS1.2,VIS1.3,VIS1.4,VIS1.4.1,VIS1.5,HAE1,HAE1.1,HAE2,HAE3,HAE4,HAE5,GEF1,ANG1,GEF2,ANG2,GEFA,GEF3,ANG3,GEF4,ANG4,RAD1,RAD2,HER1,HER1.1,HER1.1.1,HER1.1.2,HER1.1.3,HER1.1.4,HER1.1.5,HER1.1.6,KAR1,KAR1.1,KAR1.1.1,KAR1.2,KAR1.3,KAR2,KAR3,KAR3.1,KAR3.1.1,NEP1,URO1,URO1.1,URO1.1.1,URO1.1.2,URO1.1.3,URO1.1.4,URO1.1.5,URO1.1.6,URO1.1.7,URO1.1.8,PNE1,PNE1.1,PNE1.2,PNE1.3,PNE2,THO1,THO1.1,THO1.2,TPL1,TPL2,TPL3,TPL4,TPL5,TPL6,TPL7,BEW1,BEW2,BEW3,BEW4,BEW5,BEW6,BEW7,BEW7.1,BEW7.1.1,BEW7.2,BEW7.2.1,BEW7.3,BEW8,BEW8.1,BEW8.1.1,BEW9,BEW10,BEW11,RHE1,RHE2,GYN1,GYN1.1,GYN1.2,GYN1.3,GYN1.4,GYNT,GYN2,PLC1,GEBH,GEBS,GEB1,GEB1.1,GEB1.1.1,NEOG,NEO1,NEO1.1,NEO1.1.1,NEO1.1.1.1,ONK1,RAO1,NUK1,UNF1,UNF1.1,UNF2,ISO,BES,KINM,KINC,KINB,KAA,KAB,KAC,KAD,GER,AVA,PAL,Erfüllte Leistungsangebote,Beschränkte/Befristete Leistungsangebote
201,Schulthess Klinik,ZH,OW,Lengghalde 2,8008 Zürich,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bewegungsapparat chirurgisch'],[]
202,Universitätsspital Zürich,ZH,OW,Rämistrasse 100,8091 Zürich,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,"['HNO1.3.2', 'NEU3.1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'TPL1', 'TPL2', 'TPL4', 'TPL5', 'TPL6', 'UNF1.1', 'UNF2']","['Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Transplantationen', 'Unfallchirurgie']"
203,Les Hôpitaux Universitaires de Genève HUG,GE,OW,Rue Gabrielle­Perret­Gentil 4,1205 Genève,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,"['HNO1.3.2', 'NEU3.1', 'VIS1.1', 'VIS1.2', 'TPL4', 'TPL5', 'TPL6', 'UNF1.1']","['Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Transplantationen', 'Unfallchirurgie']"
205,Kantonsspital St. Gallen,SG,SG,Rorschacher Strasse 95,9000 St. Gallen,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,2.0,"['Dermatologie', 'Neurologie', 'Ophthalmologie', 'Endokrinologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Nephrologie', 'Thoraxchirurgie', 'Rheumatologie', '(Radio-) Onkologie', 'BP', 'DER1', 'DER1.1', 'DER1.2', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.1.1', 'HNO1.2', 'HNO1.2.1', 'HNO1.3', 'HNO1.3.1', 'HNO2', 'KIE1', 'NCH1', 'NCH1.1', 'NCH1.1.1', 'NCH1.1.1.1', 'NCH1.1.2', 'NCH2', 'NCH2.1', 'NCH3', 'NEU1', 'NEU2', 'NEU2.1', 'NEU3', 'NEU3.1', 'NEU4', 'NEU4.1', 'NEU4.2', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.4', 'VIS1.4.1', 'VIS1.5', 'HAE1', 'HAE1.1', 'HAE2', 'HAE3', 'HAE4', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1', 'KAR1.1', 'KAR1.1.1', 'KAR1.2', 'KAR1.3', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.4', 'URO1.1.7', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE1.3', 'PNE2', 'THO1', 'THO1.1', 'THO1.2', 'TPL5', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'BEW9', 'BEW10', 'BEW11', 'RHE1', 'RHE2', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'GEB1.1', 'GEB1.1.1', 'NEO1', 'NEO1.1', 'NEO1.1.1', 'NEO1.1.1.1', 'ONK1', 'RAO1', 'NUK1', 'UNF1', 'UNF1.1', 'BES', 'PAL']","['Basispaket', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Transplantationen', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)']"
206,Spitalregion Rheintal Werdenberg Sarganserland,SG,SG,Alte Landstrasse 106,9445 Rebstein,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,2.0,2.0,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,2.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,2.0,,,,,2.0,2.0,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,2.0,"['Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'KIE1', 'NEU1', 'NEU2', 'NEU3', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.4', 'HAE2', 'HAE3', 'GEF1', 'ANG1', 'RAD1', 'KAR1', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.4', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'RHE1', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'NEO1', 'ONK1', 'KINB', 'GER', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)']"
207,Spital Linth,SG,SG,Gasterstrasse 25,8730 Uznach,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,2.0,,,2.0,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,2.0,2.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,,,1.0,,,,2.0,1.0,2.0,,,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,,,,,,2.0,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,"['Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'NEU1', 'NEU2', 'NEU3', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.4', 'HAE2', 'HAE3', 'ANG1', 'RAD1', 'KAR1', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.8', 'PNE1.1', 'PNE2', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1', 'GYN1', 'GYN2', 'GEB1', 'NEO1', 'ONK1', 'KINB', 'GER']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)', 'URO1.1.4', 'PNE1']"
208,Spitalregion Fürstenland Toggenburg,SG,SG,Fürstenlandstrasse 32,9500 Wil SG,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,2.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,2.0,,,"['Endokrinologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'NEU1', 'NEU2', 'NEU3', 'END1', 'GAE1', 'VIS1', 'HAE2', 'HAE3', 'RAD1', 'KAR1', 'URO1', 'URO1.1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1', 'GYN1', 'GEB1', 'NEO1', 'ONK1', 'KINB', 'GER']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)', 'URO1.1.4', 'PNE1']"
209,Ostschweizer Kinderspital,SG,SG,Claudiusstrasse 6,9000 St. Gallen,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,2.0,2.0,,,,,,,,2.0,"['Dermatologie', 'Ophthalmologie', 'Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'Thoraxchirurgie', 'Rheumatologie', '(Radio-) Onkologie', 'BP', 'DER1', 'DER1.1', 'DER1.2', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.1.1', 'HNO1.2', 'HNO1.2.1', 'HNO1.3', 'HNO1.3.1', 'HNO2', 'KIE1', 'NCH1', 'NCH1.1', 'NEU1', 'NEU2', 'NEU2.1', 'NEU3', 'NEU4', 'NEU4.1', 'AUG1', 'AUG1.1', 'AUG1.2', 'AUG1.3', 'AUG1.4', 'AUG1.5', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'VIS1.4', 'VIS1.5', 'HAE1', 'HAE1.1', 'HAE2', 'HAE3', 'GEF1', 'ANG1', 'GEFA', 'GEF3', 'ANG3', 'RAD1', 'KAR1', 'KAR1.1', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.4', 'URO1.1.8', 'PNE1', 'PNE1.1', 'PNE1.3', 'PNE2', 'THO1', 'THO1.1', 'THO1.2', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW8', 'BEW8.1', 'BEW9', 'BEW10', 'BEW11', 'RHE1', 'RHE2', 'GYN1', 'NEO1', 'NEO1.1', 'NEO1.1.1', 'NEO1.1.1.1', 'ONK1', 'RAO1', 'NUK1', 'UNF1', 'UNF1.1', 'KINM', 'KINC', 'PAL']","['Basispaket', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Gynäkologie', 'Neugeborene', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)']"
210,Geriatrische Klinik St. Gallen,SG,SG,Rorschacher Strasse 92,9000 St. Gallen,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,"['BP', 'GER']","['Basispaket', 'Übrige (Querschnittsbereiche)']"
211,Hirslanden Klinik Stephanshorn,SG,SG,Brauerstrasse 95,9016 St. Gallen,1.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,2.0,,,2.0,2.0,,,,,,,2.0,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,2.0,,,,,2.0,2.0,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,"['Endokrinologie', 'Gastroenterologie', 'Nephrologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'KIE1', 'NCH2', 'NCH3', 'NEU1', 'END1', 'GAE1', 'GAE1.1', 'VIS1', 'VIS1.4', 'VIS1.4.1', 'VIS1.5', 'GEF1', 'ANG1', 'RAD1', 'KAR1', 'NEP1', 'URO1', 'URO1.1', 'URO1.1.1', 'URO1.1.2', 'URO1.1.3', 'URO1.1.4', 'URO1.1.7', 'URO1.1.8', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'BEW8.1', 'RHE1', 'GYN1', 'GYNT', 'GYN2', 'GEB1', 'NEO1', 'ONK1', 'KINB']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Viszeralchirurgie', 'Gefässe', 'Herz', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Geburtshilfe', 'Neugeborene', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)']"
212,Thurklinik AG,SG,SG,Bahnhofstrasse 123a,9244 Niederuzwil,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,2.0,,,,,2.0,2.0,,2.0,,2.0,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,"['BPE', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'HNO2', 'NCH2', 'NCH3', 'URO1', 'URO1.1', 'URO1.1.7', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW8', 'RHE1', 'GYN1', 'KINB']","['Basispaket', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Urologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', 'Übrige (Querschnittsbereiche)']"
213,Rosenklinik AG,SG,SG,Güterstrasse 21/23,8640 Rapperswil-Jona,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,"['BPE', 'DER2', 'NCH2', 'NCH3', 'URO1', 'URO1.1', 'URO1.1.7', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'BEW8', 'KINB']","['Basispaket', 'Dermatologie', 'Neurochirurgie', 'Urologie', 'Bewegungsapparat chirurgisch', 'Übrige (Querschnittsbereiche)']"
214,Geburtshaus St.Gallen GmbH,SG,SG,Lindenstrasse 71,9000 St. Gallen,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,"['GEBH', 'NEOG']","['Geburtshilfe', 'Neugeborene']"
215,Berit Klinik Wattwil,SG,SG,Steig,9630 Wattwil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[]
216,Spital Walenstadt,SG,SG,Spitalstrasse 5,8880 Walenstadt,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,2.0,2.0,1.0,2.0,,,,,,,,,2.0,2.0,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,,2.0,"['Endokrinologie', 'BP', 'DER1', 'DER2', 'HNO1', 'HNO1.1', 'HNO1.2', 'HNO1.3', 'NEU1', 'END1', 'GAE1', 'VIS1', 'HAE2', 'HAE3', 'GEF1', 'ANG1', 'RAD1', 'URO1', 'URO1.1', 'PNE1', 'BEW1', 'BEW2', 'BEW3', 'BEW4', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3', 'RHE1', 'GYN1', 'GER', 'PAL']","['Basispaket', 'Dermatologie', 'Hals-Nasen-Ohren', 'Neurologie', 'Gastroenterologie', 'Viszeralchirurgie', 'Hämatologie', 'Gefässe', 'Herz', 'Nephrologie', 'Urologie', 'Pneumologie', 'Bewegungsapparat chirurgisch', 'Rheumatologie', 'Gynäkologie', '(Radio-) Onkologie', 'Übrige (Querschnittsbereiche)', 'NEU3', 'GAE1.1', 'KAR1', 'NEP1', 'ONK1', 'KINB']"
217,Hirslanden Klinik Am Rosenberg,AR,SG,Hasenbühlstrasse 11,9410 Heiden,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BEW3', 'BEW5', 'BEW6', 'BEW7', 'BEW7.1', 'BEW7.1.1', 'BEW7.2', 'BEW7.2.1', 'BEW7.3']",['Bewegungsapparat chirurgisch']
218,Universitätsspital Zürich,ZH,SG,Rämistrasse 100,8091 Zürich,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,"['HNO1.3.2', 'NCH1.1', 'NEU3.1', 'VIS1.1', 'VIS1.2', 'VIS1.3', 'HAE3', 'HER1', 'HER1.1', 'HER1.1.1', 'HER1.1.3', 'HER1.1.4', 'HER1.1.5', 'KAR1.1.1', 'PNE1.2', 'TPL1', 'TPL2', 'TPL4', 'TPL5', 'TPL6', 'TPL7', 'PLC1', 'UNF1.1', 'UNF2', 'ISO']","['Dermatologie', 'Hals-Nasen-Ohren', 'Neurochirurgie', 'Neurologie', 'Viszeralchirurgie', 'Hämatologie', 'Herz', 'Pneumologie', 'Transplantationen', 'Unfallchirurgie', 'Übrige (Querschnittsbereiche)', 'DER1.1']"
